Omega Analysis Results
=====================
Time Step | Omega | Fitness | Sensors Collected | Iterations
0 | 0.4 | 1.3299 | 0 | 0
1 | 0.4 | 3.8266 | 30 | 5
2 | 0.4 | 17.2863 | 44 | 3
3 | 0.4 | 7.0034 | 44 | 6
4 | 0.4 | 39.3020 | 52 | 3
5 | 0.4 | 6.4143 | 52 | 5
6 | 0.4 | 67.5189 | 37 | 5
7 | 0.4 | 5.0342 | 37 | 4
8 | 0.4 | 81.0131 | 47 | 4
9 | 0.4 | 6.6115 | 47 | 3
10 | 0.4 | 72.5927 | 57 | 6
11 | 0.4 | 8.5223 | 57 | 4
12 | 0.4 | 58.7719 | 24 | 4
13 | 0.4 | 4.0661 | 24 | 5
14 | 0.4 | 76.6993 | 36 | 5
15 | 0.4 | 5.9130 | 36 | 5
16 | 0.4 | 96.7189 | 63 | 5
17 | 0.4 | 8.7581 | 63 | 3
18 | 0.4 | 60.7287 | 56 | 4
19 | 0.4 | 6.3326 | 56 | 4
20 | 0.4 | 58.3887 | 33 | 3
0 | 0.5 | 1.3299 | 0 | 0
1 | 0.5 | 3.8266 | 30 | 5
2 | 0.5 | 15.6688 | 43 | 3
3 | 0.5 | 6.8063 | 43 | 3
4 | 0.5 | 36.5015 | 37 | 3
5 | 0.5 | 59.5852 | 53 | 6
6 | 0.5 | 7.2418 | 53 | 7
7 | 0.5 | 85.8024 | 46 | 4
8 | 0.5 | 7.3876 | 46 | 3
9 | 0.5 | 70.7690 | 54 | 8
10 | 0.5 | 87.5116 | 40 | 3
11 | 0.5 | 5.6638 | 40 | 3
12 | 0.5 | 54.6797 | 24 | 9
13 | 0.5 | 109.6212 | 56 | 3
14 | 0.5 | 7.5268 | 56 | 3
15 | 0.5 | 70.0087 | 35 | 6
16 | 0.5 | 89.0379 | 43 | 8
17 | 0.5 | 6.6154 | 43 | 4
18 | 0.5 | 87.7374 | 48 | 8
19 | 0.5 | 7.1661 | 48 | 7
20 | 0.5 | 76.0756 | 36 | 3
0 | 0.6 | 1.3299 | 0 | 0
1 | 0.6 | 3.8266 | 30 | 3
2 | 0.6 | 14.4941 | 34 | 6
3 | 0.6 | 37.4633 | 41 | 4
4 | 0.6 | 6.9129 | 41 | 3
